address1,address2,aging,anti_discrimination_human_rights,arts_culture,bbl,bin,borough,bronx,brooklyn,business,census_tract,child_care_parent_information,city,community_board,community_council,community_service_volunteerism,counseling_support_groups,description,disabilities,domestic_violence,education,employment_job_training,faith_based_organization,fax,foundation,health,homelessness,housing,immigration,is_registered_with_the_attorney_general_s_office,latitude,legal_services,lesbian_gay_bisexual_and_or_transgender,location_1,longitude,manhattan,new_york_city_agency,none_of_the_above,nonprofit,nourl,nta,organizationname,other_government_organization,outsideloc,outsidelocdesc,personal_finance_financial_education,phone,postcode,professional_association,published,queens,staten_island,url,veterans_military_families,victim_services,youth_services
"333 Seventh Avenue, 6th floor","24 East 21 St., New York, NY, 10010",N,N,N,1008040001,1015097,MANHATTAN,N,N,N,95,N,New York,5,3,N,N,,N,N,N,N,N,2129799009,N,Y,N,N,N,N,40.747629,N,N,"{'latitude': '40.747629', 'needs_recoding': False, 'longitude': '-73.99306'}",-73.99306,Y,N,N,Y,,Midtown-Midtown South                                                      ,International Women's Health Coalition,N,,,N,2129798500,10001,N,Published,N,N,http://www.iwhc.org,N,N,N
"777 U.N. Plaza, 3rd Fl.",,N,Y,N,,,,N,N,N,,N,New York,,,N,N,,N,N,N,N,N,2126612704,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,,,"International Women's Tribune Centre, Inc.",N,,,N,2126878633,,N,Published,N,N,http://www.iwtc.org/,N,N,N
"P.O. Box 810, Gracie Station",,N,N,N,,,,N,N,N,,N,New York,,,N,N,,N,N,N,N,N,2127379469,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,International Women's Writing Guild,N,N,,N,2127377536,10028,Y,Published,N,N,http://www.iwwg.com,N,N,N
2271 Second Ave.,,N,N,N,,,,N,N,N,,N,New York,,,N,Y,"Established in 1993 by the Women and AIDS Working Group, Iris House provides comprehensive services and advocacy for women, families, and communities infected with and affected by HIV/AIDS, while simultaneously providing prevention and education services ",N,N,N,N,N,2124239193,N,Y,N,Y,N,N,,N,N,,,Y,N,N,Y,,,Iris House-A Center for Women Living with HIV/AIDS,N,,,N,2124239049,,N,Published,N,N,http://www.irishouse.org/index.html,N,N,N
515 Audubon Avenue,,Y,N,N,1021600001,1063861,MANHATTAN,N,N,N,277,N,New York,12,10,N,N,"Since its inspired beginning in 1875, Isabella, a non-profit, non-sectarian organization, has pioneered in the care of the elderly of New York.  Located in northern Manhattan, Isabella has grown from a traditional nursing home into a progressive provider ",N,N,N,N,N,,N,N,N,Y,N,N,40.854783,N,N,"{'latitude': '40.854783', 'needs_recoding': False, 'longitude': '-73.927909'}",-73.927909,Y,N,N,Y,,Washington Heights North                                                   ,"Isabella Geriatric Center, Inc.",N,,,N,2123429324,10040,N,Published,N,N,http://www.isabella.org/index.htm,N,N,N
1466 Manor Road,,Y,N,N,5009550100,5141743,STATEN IS,N,N,N,181,N,Staten Island,2,50,N,N,,N,N,N,N,N,,N,N,N,N,N,N,40.594454,N,N,"{'latitude': '40.594454', 'needs_recoding': False, 'longitude': '-74.125677'}",-74.125677,N,N,N,Y,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,"Jewish Community Center of Staten Island, Inc.",N,,,N,7184755200,10314,N,Published,N,Y,http://www.sijcc.org/,N,N,Y
135 East 64th Street,,N,N,N,,,,N,N,N,,N,New York,,,N,N,"The Jewish Foundation for Education of Women (JFEW) is a private, nonsectarian organization that provides scholarships to women with financial need who live in the New York City area. We have been supporting women in attaining their educational goals and ",N,N,Y,N,N,2127652675,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,,,Jewish Foundation for Education of Women,N,,,N,2122652565,,N,Published,N,N,http://www.jfew.org,N,N,Y
15 West 65th St.,,N,N,N,,,,N,N,N,,N,New York,,,N,N,"The Jewish Guild for the Blind (The Guild), located at 15 West 65th Street, New York, NY 10023, is a not-for-profit, non-sectarian agency that serves persons of all ages who are visually impaired, blind and multidisabled. The Guild offers a broad range of",Y,N,Y,N,N,2127696266,N,Y,N,N,N,N,,N,N,,,Y,N,N,Y,,,Jewish Guild for the Blind,N,,,N,8002844422,,N,Published,N,N,http://www.jgb.org/,N,N,N
60-05 Woodhaven Boulevard,,N,N,N,4030880001,4072178,QUEENS   ,N,N,N,687,N,Elmhurst,6,29,N,N,The Jewish Institute of Queens is an exciting and innovative place for children to grow and learn. The entire staff is dedicated to providing an education that will prepare every child for future academic success. ,N,N,Y,N,N,,N,N,N,N,N,N,40.731256,N,N,"{'latitude': '40.731256', 'needs_recoding': False, 'longitude': '-73.871561'}",-73.871561,N,N,N,Y,,Rego Park                                                                  ,Jewish Institute of Queens,N,,,N,7186426800,11373,N,Published,Y,N,http://queensgymnasia.org/index.html,N,N,Y
130 East 59th St.,,N,Y,N,,,,N,N,N,,N,New York,,,N,N,Through the funding of innovative programs and advocacy efforts the Jewish Women's Foundation of New York is committed to addressing the unmet needs of Jewish women and girls in the New York area and beyond. We invite you to work with us toward these powe,N,Y,N,N,N,2128361831,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,,,Jewish Women's Foundation,N,,,N,2128361478,,N,Published,N,N,http://jwfny.org/index.html,N,N,N
55 Pierrepont St.,,N,N,N,,,,N,Y,N,,N,Brooklyn,,,Y,N,The Junior League of Brooklyn was established in 1910 by women interested in fighting the health and social problems associated with overcrowded tenement neighborhoods. Our vision is to be Brooklyn's premiere volunteer organization that affects enduring a,N,N,N,N,N,,N,Y,N,N,N,N,,N,N,,,N,N,N,Y,,,Junior League of Brooklyn,N,,,N,7186243288,,N,Published,N,N,http://www.brooklynjuniorleague.org/brooklyn/index.jsp,N,N,N
3495 Nostrand Avenue,,N,N,N,3073630036,3200300,BROOKLYN ,N,Y,N,570,N,Brooklyn,15,46,N,N,"Kings Bay YM-YWHA is a community center serving the Sheepshead Bay, Marine Park, Bergen Beach, Homecreast and Midwood neighborhoods of Brooklyn. The Kings Bay Y offers a wide range of brand new social, educational and cultural programming for individuals ",N,N,N,N,N,,N,N,N,N,N,N,40.598817,N,N,"{'latitude': '40.598817', 'needs_recoding': False, 'longitude': '-73.94157'}",-73.94157,N,N,N,Y,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,"Kings Bay YM-YWHA, Inc.",N,,,N,7186487703,11229,N,Published,N,N,http://www.kingsbayy.org/,N,N,Y
3101 Kingsbridge Terrace,,N,N,N,2032570111,2015788,BRONX    ,Y,N,N,277,N,Bronx,8,14,N,N,"Our programs are offered for all members of the community. We have programs for all ages: early childhood, youths, adults and seniors.",N,N,N,N,N,,N,N,N,N,N,N,40.877505,N,N,"{'latitude': '40.877505', 'needs_recoding': False, 'longitude': '-73.90033'}",-73.90033,N,N,N,Y,,Van Cortlandt Village                                                      ,"Kingsbridge Heights Community Center, Inc.",N,,,N,7188840700,10463,N,Published,N,N,http://www.khcc-nyc.org/,N,N,Y
1930 Randall Avenue,,N,N,N,2035280017,2090508,BRONX    ,Y,N,N,16,N,Bronx,9,18,N,N,"The mission of the Kips Bay Boys & Girls Club is to improve and enhance the quality of life for all young people, with special emphasis on those who need us most between ages 6-18. Kips Bay Boys and Girls Club exists to assist as many young people as poss",N,N,N,N,N,,N,N,N,N,N,N,40.817841,N,N,"{'latitude': '40.817841', 'needs_recoding': False, 'longitude': '-73.856704'}",-73.856704,N,N,N,Y,,Soundview-Castle Hill-Clason Point-Harding Park                            ,Kips Bay Boys & Girls Club,N,,,N,7188938600,10473,N,Published,N,N,http://kipsbay.org/drupal/,N,N,Y
2324 Healy Ave,,N,N,N,,,,N,N,N,,N,Far Rockaway,,,Y,N,"Kiwanis is a global organization of volunteers dedicated to changing the world, one child and one community at a time.",N,N,N,N,N,7188680229,N,N,N,N,N,N,,N,N,,,N,N,N,Y,,,Kiwanis International,N,,,N,7188680229,,N,Published,Y,N,http://www.kiwanis.org/,N,N,N
2001 Oriental Blvd.,,N,N,N,,,,N,Y,N,,N,Brooklyn,,,N,N,"The Center offers women and non-traditional students a welcoming, supportive environment in which to explore educational, professional, and lifestyle issues. It is an ideal place to meet and network with other students who are also working towards a succe",N,N,Y,N,N,7183684516,N,N,N,N,N,N,,N,N,,,N,N,N,Y,,,Kingsborough Community College Women's Center,N,,,N,7183684700,,N,Published,N,N,http://www.kingsborough.edu/sub-other/sub-student_current/womens_resource_center.html,N,N,N
3536 105th Street,,N,N,N,,,QUEENS   ,N,N,N,379,N,Corona,3,21,N,N,,N,N,N,N,N,,N,N,N,N,Y,N,40.754876,N,N,"{'latitude': '40.754876', 'needs_recoding': False, 'longitude': '-73.863206'}",-73.863206,N,N,N,Y,,North Corona                                                               ,La Asociacion Benefica Cultural Father Billini,N,,,N,7186518427,11368,N,Published,Y,N,,N,N,N
"15 East 26 St., Suite 919",,N,N,N,,,,N,N,N,,N,New York,,,N,N,"Lambda Legal is a national organization committed to achieving full recognition of the civil rights of lesbians, gay men, bisexuals, transgender people and those with HIV through impact litigation, education and public policy work.",N,N,N,N,N,2122135597,N,N,N,N,N,N,,N,Y,,,Y,N,N,Y,,,"Lambda Legal Defense and Education Fund, Inc.",N,,,N,2122135545,,N,Published,N,N,http://www.lambdalegal.org,N,N,N
"330 7th Avenue, 19th Fl",,N,N,N,1007780043,1014264,MANHATTAN,N,N,N,95,N,New York,5,3,N,N,"Lawyers Alliance for New York is the leading provider of business and transactional legal services for nonprofit organizations that are improving the quality of life in New York City neighborhoods. By connecting lawyers, nonprofits, and communities, we he",N,N,N,N,N,,N,N,N,N,N,N,40.747549,Y,N,"{'latitude': '40.747549', 'needs_recoding': False, 'longitude': '-73.993143'}",-73.993143,Y,N,N,Y,,Midtown-Midtown South                                                      ,Lawyers Alliance for New York,N,,,N,2122191800,10001,N,Published,N,N,http://www.lawyersalliance.org/,N,N,N
"50 Broadway, 6th Floor",,N,N,N,,,,N,N,N,,N,New York,,,N,N,"The League was founded in New York in 1910 and is the premier agency in the world providing services for people of all ages with all degrees of hearing loss. The League, a non-profit agency, assures a world without limits for infants, children and adults ",Y,N,N,N,N,9173057888,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,,,League for the Hard of Hearing,N,,,N,9173057700,,N,Published,N,N,http://www.lhh.org/,N,N,N
"27 W. 20 St., Suite 303",,N,N,N,,,,N,N,N,,N,New York,,,N,N,"The Learning Disabilities Association of New York City (LDA of NYC) is a nonprofit organization which was founded in 1989. LDA of NYC facilitates access to needed services for all New Yorkers with Learning Disabilities, especially those in the more disadv",Y,N,Y,N,N,2129248896,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,,,Learning Disabilities Association of New York City,N,,,N,2126456730,,N,Published,N,N,http://www.ldanyc.org/index.html,N,N,N
"80 Maiden Lane, 11th Floor",,N,N,N,,,,N,N,N,,N,New York,,,Y,N,"Learning Leadersâ€™ mission is to help New York City public school students succeed by training volunteers to provide individualized instructional support and other school-based support, and by equipping parents to foster their childrenâ€™s educational development.",N,N,Y,N,N,2122130787,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,Learning Leaders,N,N,,N,2122133370,,N,Published,N,N,http://www.learningleaders.org/,N,N,N
225 Varick Street,,N,Y,N,1005810063,1009758,MANHATTAN,N,N,N,67,N,New York,2,3,N,N,"The Legal Action Center is the only non-profit law and policy organization in the United States whose sole mission is to fight discrimination against people with histories of addiction, HIV/AIDS, or criminal records, and to advocate for sound public polic",N,N,N,N,N,2126750286,N,N,N,N,N,N,40.729165,Y,N,"{'latitude': '40.729165', 'needs_recoding': False, 'longitude': '-74.00525'}",-74.00525,Y,N,N,Y,N,West Village                                                               ,Legal Action Center,N,N,,N,2122431313,10014,N,Published,N,N,http://www.lac.org/,N,N,N
402 West 145th Street,,N,N,N,1020500151,1061009,MANHATTAN,N,N,N,227,N,New York,9,7,N,N,"Legal Outreach prepares urban youth from underserved communities in New York City to compete at high academic levels by using intensive legal and educational programs as tools for fostering vision, developing skills, enhancing confidence, and facilitating",N,N,Y,N,N,,N,N,N,N,N,N,40.824307,N,N,"{'latitude': '40.824307', 'needs_recoding': False, 'longitude': '-73.945426'}",-73.945426,Y,N,N,Y,,Hamilton Heights                                                           ,"Legal Outreach, Inc",N,,,N,2126909989,10031,N,Published,N,N,http://www.legaloutreach.org/index.php?option=com_frontpage&Itemid=1,N,N,N
"175 Remsen St., Suite 1100",,N,N,N,,,,N,Y,N,,N,Brooklyn,,,N,N,"The mission of Life Force is to reduce the incidence of HIV/AIDS and to address the other broad range of health care issues of women of color particularly in Brooklyn, NY.",N,N,N,N,N,7187974011,N,Y,N,N,N,N,,N,N,,,N,N,N,Y,,,"Life Force: Women Fighting AIDS, Inc.",N,,,N,7187970937,,N,Published,N,N,http://www.lifeforceinc.org,N,N,N
80-09 Winchester Boulevard,,N,N,N,,,,N,N,N,,N,Queens Village,,,N,N,A non-profit psychiatric day treatment center and Special education school,N,N,Y,N,N,7182179566,N,N,N,N,N,N,,N,N,,,N,N,N,Y,,,Lifeline Center For Child Development,N,,,N,7187404300,,N,Published,Y,N,http://www.lifelinecenter.org/,N,N,N
111 East 59th Street,,N,N,N,,,,N,N,N,,N,New York,,,N,N,"Founded in New York City in 1905, Lighthouse International is a leading non-profit organization dedicated to preserving vision and to providing critically needed vision and rehabilitation services to help people of all ages overcome the challenges of vision loss. Through clinical services, education, research, and advocacy, the Lighthouse enables people with low vision and blindness to enjoy safe, independent and productive lives.",Y,N,N,N,N,2128219743,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,Lighthouse International,N,N,,N,2128219235,,N,Published,N,N,http://www.lighthouse.org,N,N,N
250 West 65th Street,,Y,N,Y,1011560020,1030340,MANHATTAN,N,N,N,151,N,New York,7,6,N,N,"The vision that shaped Lincoln Square Neighborhood Center in 1949 also shaped the Settlement House movement begun over 100 years ago. Throughout this city, neighbors stood up and took responsibility for each other, working cooperatively to build networks ",N,N,N,N,N,,N,N,N,N,N,N,40.77501,N,N,"{'latitude': '40.77501', 'needs_recoding': False, 'longitude': '-73.98689'}",-73.98689,Y,N,N,Y,,Lincoln Square                                                             ,"Lincoln Square Neighborhood Center, Inc.",N,,,N,2128740860,10023,N,Published,N,N,http://www.lsncny.org/,N,N,Y
